"0","613","510","993","2","1994-09-25 14:06:46","false","false"
"1","447","1064","800","3","1981-02-07 06:25:12","true","true"
"2","174","1000","610","4","2002-12-01 01:05:18","false","false"
"3","839","271","785","3","2013-02-09 06:27:20","true","true"
"4","522","736","579","5","2003-07-22 14:25:21","false","false"
"5","784","205","545","4","1987-11-27 08:03:49","true","true"
"6","169","144","366","5","1996-05-11 08:49:30","true","true"
"7","699","739","561","1","1994-03-18 16:42:17","true","true"
"8","185","1408","610","2","1987-01-29 09:11:20","false","false"
"9","514","520","183","1","1982-04-12 17:18:04","false","false"
"10","189","1782","333","4","2008-05-25 05:37:41","true","true"
"11","252","1564","892","2","1983-05-16 17:40:16","true","true"
"12","316","822","948","5","2005-03-14 13:44:18","true","true"
"13","9","350","476","2","1981-06-12 10:32:19","true","true"
"14","412","167","570","3","1973-07-26 05:54:30","true","true"
"15","621","899","697","5","1986-05-23 22:33:58","false","false"
"16","712","224","345","1","1990-03-21 19:05:38","false","false"
"17","257","1200","878","4","2006-02-23 19:10:36","false","false"
"18","72","49","413","4","1995-11-29 05:45:09","true","true"
"19","681","978","751","1","1983-07-02 10:32:15","true","true"
"20","606","645","468","5","1996-11-04 03:04:26","true","true"
"21","324","974","635","1","1990-09-22 04:29:49","true","true"
"22","252","15","145","2","2010-03-12 16:35:51","true","true"
"23","392","1919","358","2","1998-07-30 07:55:48","true","true"
"24","208","1103","607","3","2009-05-01 07:24:01","false","false"
"25","774","38","624","1","2003-08-12 02:33:00","false","false"
"26","227","256","742","2","1981-06-23 08:50:12","true","true"
"27","21","592","135","1","2016-07-29 08:44:37","false","false"
"28","484","776","908","2","1982-11-06 12:00:33","false","false"
"29","747","1963","699","3","2012-09-15 18:21:11","false","false"
"30","681","1452","89","2","2009-01-03 01:37:00","false","false"
"31","140","902","136","1","1992-10-01 13:03:40","true","true"
"32","336","618","910","5","2020-05-03 22:33:15","true","true"
"33","63","866","924","5","1993-09-23 01:34:15","true","true"
"34","393","490","216","5","2003-02-25 08:22:03","false","false"
"35","954","1755","947","5","2019-10-07 19:19:49","true","true"
"36","766","1217","272","4","2003-10-10 02:43:11","true","true"
"37","248","1442","18","5","2019-11-20 17:09:31","false","false"
"38","181","598","163","4","1981-12-04 12:38:10","true","true"
"39","673","312","16","5","2019-06-10 01:42:44","true","true"
"40","484","1044","4","1","2003-04-16 04:42:42","false","false"
"41","345","1438","69","3","1992-06-21 07:02:28","true","true"
"42","114","1897","878","4","1993-11-09 16:18:17","true","true"
"43","126","1307","254","3","2016-10-09 04:12:20","false","false"
"44","112","92","82","3","1978-01-14 14:51:33","false","false"
"45","770","694","277","5","2000-10-20 08:05:29","false","false"
"46","540","1273","810","2","1992-06-21 16:35:26","true","true"
"47","226","628","641","5","1997-06-14 13:31:27","true","true"
"48","758","1360","515","5","2002-10-18 01:46:35","true","true"
"49","302","717","25","2","2005-02-06 06:34:33","false","false"
"50","858","0","865","2","2021-12-30 19:07:22","false","false"
"51","353","924","725","5","2010-03-09 11:25:10","true","true"
"52","929","1984","111","3","1982-12-01 02:36:25","false","false"
"53","140","1983","592","1","1999-07-23 12:12:24","false","false"
"54","18","320","233","4","2016-06-07 06:27:17","true","true"
"55","801","577","645","5","1998-06-28 11:21:21","true","true"
"56","277","125","949","3","1999-02-20 22:30:15","true","true"
"57","305","383","99","4","2017-01-07 07:17:02","false","false"
"58","654","217","379","4","1981-01-06 00:49:04","false","false"
"59","451","1428","966","2","2002-10-04 17:36:04","true","true"
"60","242","1001","350","4","1983-06-05 00:26:16","false","false"
"61","144","1588","506","2","1976-07-04 03:48:49","false","false"
"62","990","646","615","1","2011-12-06 11:00:24","false","false"
"63","331","1111","0","3","2009-01-10 05:01:56","true","true"
"64","773","1616","897","4","2008-08-29 15:36:10","false","false"
"65","449","76","137","1","1992-03-30 06:46:45","false","false"
"66","191","1354","388","5","2003-02-20 20:08:06","false","false"
"67","88","1190","952","1","1990-05-08 07:17:55","true","true"
"68","719","894","335","5","1978-11-22 21:22:37","true","true"
"69","97","1191","993","3","1979-02-21 21:29:53","true","true"
"70","978","1704","241","5","1997-07-03 20:54:07","true","true"
"71","786","237","658","5","1985-03-07 20:28:11","true","true"
"72","75","1652","733","1","1970-04-17 05:16:57","false","false"
"73","213","1946","753","2","1995-04-08 22:00:50","false","false"
"74","321","71","849","4","1974-08-17 05:36:58","true","true"
