"0","92","417","872","1"
"1","309","1089","266","4"
"2","124","1451","672","3"
"3","509","1220","685","2"
"4","476","821","786","4"
"5","318","915","48","1"
"6","197","266","312","4"
"7","654","88","547","3"
"8","959","1712","10","2"
"9","199","522","246","3"
"10","721","1221","831","2"
"11","848","66","391","5"
"12","956","382","905","5"
"13","897","325","19","3"
"14","55","74","229","2"
"15","935","1410","370","5"
"16","599","1213","799","2"
"17","558","1648","1","4"
"18","749","1019","729","5"
"19","236","1953","840","3"
"20","414","981","479","2"
"21","448","34","686","5"
"22","410","8","546","3"
"23","84","757","514","1"
"24","657","1831","420","3"
"25","952","520","374","2"
"26","544","526","597","3"
"27","449","365","954","2"
"28","145","490","216","5"
"29","239","950","803","4"
"30","39","1535","96","1"
"31","447","691","920","5"
"32","433","1662","136","5"
"33","2","1712","10","5"
"34","845","1383","643","5"
"35","495","1414","214","1"
"36","363","621","276","3"
"37","904","219","624","4"
"38","770","32","107","5"
"39","412","879","948","5"
"40","945","1386","509","2"
"41","546","1882","617","5"
"42","309","1576","440","4"
"43","935","1074","713","4"
"44","837","1428","966","1"
"45","391","1011","143","5"
"46","878","981","191","2"
"47","505","1995","477","2"
"48","359","1019","729","1"
"49","545","1303","409","5"
"50","781","511","11","2"
"51","175","534","301","1"
"52","57","95","55","4"
"53","639","754","149","3"
"54","224","1581","324","1"
"55","671","902","136","2"
"56","373","366","982","2"
"57","67","1119","539","3"
"58","542","388","445","4"
"59","703","353","199","4"
"60","788","844","128","1"
"61","621","1072","778","5"
"62","650","1340","504","4"
"63","925","302","674","4"
"64","673","1240","36","4"
"65","402","1573","660","1"
"66","632","1999","546","5"
"67","219","1380","13","1"
"68","681","959","180","5"
"69","789","1149","584","1"
"70","44","627","842","5"
"71","510","799","709","3"
"72","229","1461","48","3"
"73","503","617","852","1"
"74","147","364","650","1"
"75","838","903","166","1"
"76","644","964","965","2"
"77","981","1097","591","2"
"78","720","973","642","2"
"79","893","1291","393","5"
"80","301","1011","456","1"
"81","230","1534","680","3"
"82","71","1108","564","2"
"83","447","894","259","4"
"84","827","1778","931","3"
"85","536","316","215","5"
"86","592","1946","753","1"
"87","633","765","414","5"
"88","340","1276","158","4"
"89","560","708","331","5"
"90","438","820","632","2"
"91","633","124","17","5"
"92","936","1827","782","1"
"93","464","141","268","4"
"94","31","1564","892","1"
"95","798","474","545","5"
"96","618","1288","453","2"
"97","595","1572","381","3"
"98","887","270","738","5"
"99","24","1968","261","3"
"100","964","79","970","1"
"101","62","1254","955","3"
"102","54","1238","128","3"
"103","742","1132","301","4"
"104","664","1885","416","1"
"105","850","101","403","1"
"106","41","280","142","3"
"107","169","75","383","3"
"108","207","827","6","2"
"109","573","310","475","5"
"110","454","1028","769","2"
"111","436","268","16","5"
"112","937","1127","168","1"
"113","323","1556","701","2"
"114","63","250","190","3"
"115","340","773","834","2"
"116","552","510","234","5"
"117","90","75","717","5"
"118","683","660","734","4"
"119","626","236","673","2"
"120","669","878","569","1"
"121","367","1087","213","5"
"122","606","772","939","2"
"123","554","231","745","1"
"124","308","226","453","2"
"125","779","1625","745","2"
"126","304","1105","378","4"
"127","328","124","17","4"
"128","717","8","960","1"
"129","699","413","555","1"
"130","308","92","506","2"
"131","276","378","564","5"
"132","3","72","316","3"
"133","345","28","470","1"
"134","937","266","312","2"
"135","598","1694","271","5"
"136","413","1338","501","4"
"137","103","257","400","2"
"138","759","80","708","1"
"139","459","1629","435","2"
"140","727","614","833","2"
"141","106","1518","291","3"
"142","588","1573","479","2"
"143","190","12","18","5"
"144","113","32","221","1"
"145","205","1569","881","2"
"146","675","1263","269","2"
"147","141","88","8","1"
"148","786","496","243","4"
"149","258","222","752","1"
"150","333","1690","526","4"
"151","780","785","777","3"
"152","767","1143","849","4"
"153","983","1990","591","1"
"154","428","1442","18","3"
"155","935","816","806","2"
"156","462","1660","531","2"
"157","498","352","249","4"
"158","665","1019","729","2"
"159","858","450","908","5"
"160","119","728","1","4"
"161","104","1384","88","1"
"162","594","1877","590","3"
"163","486","19","629","4"
"164","163","329","41","1"
"165","39","1186","555","2"
"166","279","614","833","2"
"167","172","909","781","2"
"168","96","454","19","2"
"169","989","353","226","4"
"170","331","113","473","5"
"171","152","1189","225","3"
"172","33","1573","660","4"
"173","165","660","232","5"
"174","834","1911","347","1"
"175","970","724","237","1"
"176","890","1557","992","2"
"177","365","1352","587","4"
"178","897","1360","386","5"
"179","482","1919","882","5"
"180","117","1249","723","4"
"181","421","1870","165","2"
"182","432","535","654","5"
"183","643","1084","456","3"
"184","105","1369","67","3"
"185","234","1873","162","5"
"186","615","1044","4","4"
"187","962","1736","180","5"
"188","994","818","281","1"
"189","851","1389","724","5"
"190","653","630","396","4"
"191","596","169","953","1"
"192","259","647","706","3"
"193","273","1834","877","2"
"194","520","131","433","1"
"195","912","899","697","2"
"196","727","1996","532","3"
"197","134","1414","303","1"
"198","753","1993","401","1"
"199","552","66","432","5"
"200","400","1041","157","4"
"201","285","921","898","1"
"202","658","1818","768","5"
"203","772","1751","590","3"
"204","427","1707","93","5"
"205","948","1406","545","4"
"206","41","868","956","4"
"207","850","225","437","5"
"208","784","1489","970","1"
"209","296","1561","690","2"
"210","672","201","420","5"
"211","737","617","852","2"
"212","447","1185","943","5"
"213","245","259","145","1"
"214","503","471","501","2"
"215","848","317","281","4"
"216","836","1996","131","2"
"217","45","1325","851","2"
"218","276","698","843","4"
"219","702","1238","128","2"
"220","915","435","884","5"
"221","700","1122","292","5"
"222","322","454","522","2"
"223","345","157","809","5"
"224","590","757","818","1"
"225","737","1319","350","5"
"226","242","1949","884","3"
"227","944","1452","89","5"
"228","464","776","908","5"
"229","23","647","637","2"
"230","557","768","585","5"
"231","632","1220","653","1"
"232","741","1515","845","5"
"233","864","646","615","4"
"234","877","302","574","2"
"235","773","1192","265","2"
"236","869","294","9","5"
"237","92","1507","801","4"
"238","251","1833","551","4"
"239","791","772","673","4"
"240","485","628","641","4"
"241","913","306","304","5"
"242","717","1564","892","1"
"243","368","1453","180","1"
"244","530","1671","775","1"
"245","36","812","508","1"
"246","960","1077","296","5"
"247","815","332","371","5"
"248","228","1238","216","1"
"249","52","100","395","5"
"250","45","879","693","1"
"251","144","1185","425","4"
"252","310","266","595","4"
"253","768","177","711","5"
"254","396","1371","508","5"
"255","466","237","658","3"
"256","87","598","432","2"
"257","949","1975","127","5"
"258","722","816","546","3"
"259","470","569","287","2"
"260","267","893","394","5"
"261","928","1233","893","4"
"262","984","1864","860","1"
"263","928","626","167","1"
"264","634","1963","699","4"
"265","107","1035","531","5"
"266","319","310","511","3"
"267","520","1028","343","3"
"268","730","1305","295","1"
"269","97","1685","864","2"
"270","56","1130","877","3"
"271","879","322","135","2"
"272","265","1917","727","1"
"273","65","224","58","3"
"274","823","989","360","5"
"275","138","1638","495","2"
"276","970","1233","528","3"
"277","370","190","532","4"
"278","975","1368","93","3"
"279","651","52","47","5"
"280","471","1642","349","5"
"281","627","1299","35","1"
"282","648","316","215","4"
"283","9","943","310","1"
"284","633","1783","448","5"
"285","16","31","588","3"
"286","854","1956","541","5"
"287","934","907","253","1"
"288","236","1946","753","5"
"289","720","1284","2","3"
"290","537","1028","769","3"
"291","870","990","817","2"
"292","830","243","803","1"
"293","728","177","887","1"
"294","270","1894","830","5"
"295","30","1095","867","3"
"296","649","407","127","3"
"297","917","1071","515","4"
"298","951","385","590","3"
"299","590","1155","737","3"
"300","868","1770","743","2"
"301","827","646","603","5"
"302","56","947","732","4"
"303","71","1055","299","5"
"304","687","292","807","5"
"305","82","1564","848","3"
"306","986","968","119","5"
"307","726","160","907","5"
"308","71","889","131","3"
"309","904","334","509","1"
"310","611","1941","757","5"
"311","700","392","793","4"
"312","225","984","221","4"
"313","378","593","237","2"
"314","536","220","345","2"
"315","633","455","399","1"
"316","247","1021","506","1"
"317","720","1333","516","1"
"318","685","816","806","5"
"319","909","1802","86","1"
"320","342","776","633","3"
"321","667","406","153","3"
"322","915","1516","666","4"
"323","935","1446","398","4"
"324","101","1132","301","3"
"325","677","659","655","2"
"326","862","48","76","5"
"327","599","1332","122","1"
"328","190","944","67","4"
"329","963","595","487","1"
"330","37","717","25","4"
"331","584","1457","93","1"
"332","246","1324","637","3"
"333","308","778","686","2"
"334","304","1899","596","4"
"335","83","591","459","5"
"336","649","1838","399","4"
"337","598","1818","191","4"
"338","206","888","139","4"
"339","780","1113","251","2"
"340","293","502","48","4"
"341","487","1058","567","1"
"342","323","489","189","4"
"343","167","1913","717","5"
"344","901","351","893","2"
"345","418","617","520","2"
"346","360","1172","979","1"
"347","812","302","574","3"
"348","810","1192","265","4"
"349","967","618","503","3"
"350","290","805","249","3"
"351","192","170","773","2"
"352","403","950","803","2"
"353","707","670","622","3"
"354","498","721","114","4"
"355","947","1536","555","4"
"356","812","458","520","5"
"357","314","217","132","2"
"358","264","1943","311","5"
"359","2","1436","40","5"
"360","884","263","935","4"
"361","78","210","930","4"
"362","501","991","323","5"
"363","888","344","85","2"
"364","131","190","532","2"
"365","784","101","815","4"
"366","181","100","582","1"
"367","263","929","219","3"
"368","705","1913","717","2"
"369","377","1024","131","2"
"370","889","591","702","2"
"371","952","604","90","1"
